CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Lat,Lon
41500,Salinas,California,NO2,Annual Mean,1,7.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,36.6744117,-121.655037
41500,Salinas,California,NO2,98th Percentile,1,35.0,35.0,38.0,33.0,37.0,39.0,37.0,35.0,34.0,34.0,31.0,34.0,35.0,36.0,32.0,28.0,24.0,27.0,29.0,26.0,25.0,23.0,36.6744117,-121.655037
41500,Salinas,California,O3,4th Max,2,0.059,0.062,0.061,0.063,0.066,0.055,0.057,0.056,0.06,0.057,0.058,0.056,0.052,0.055,0.061,0.057,0.054,0.056,0.052,0.056,0.051,0.052,36.6744117,-121.655037
41500,Salinas,California,PM2.5,Weighted Annual Mean,1,7.9,8.7,9.1,7.3,7.0,6.8,7.1,7.0,7.2,5.8,6.6,6.3,5.5,6.6,4.6,4.6,5.3,5.6,6.1,4.2,6.8,4.8,36.6744117,-121.655037
41500,Salinas,California,PM2.5,98th Percentile,1,22.0,22.0,23.0,14.0,16.0,14.0,13.0,16.0,14.0,14.0,14.0,14.0,13.0,16.0,12.0,12.0,13.0,17.0,29.0,10.0,44.0,13.0,36.6744117,-121.655037
41740,San Diego-Carlsbad,California,NO2,Annual Mean,3,15.0,15.0,15.0,15.0,13.0,13.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,32.716964,-117.170067
41740,San Diego-Carlsbad,California,NO2,98th Percentile,3,64.0,63.0,63.0,66.0,62.0,55.0,57.0,53.0,54.0,49.0,45.0,42.0,41.0,40.0,42.0,38.0,38.0,38.0,36.0,33.0,34.0,35.0,32.716964,-117.170067
41740,San Diego-Carlsbad,California,O3,4th Max,5,0.078,0.08,0.077,0.073,0.077,0.073,0.075,0.075,0.081,0.073,0.071,0.069,0.068,0.067,0.07,0.068,0.071,0.076,0.067,0.066,0.076,0.068,32.716964,-117.170067
41740,San Diego-Carlsbad,California,PM10,2nd Max,1,45.0,49.0,45.0,65.0,43.0,50.0,49.0,51.0,38.0,52.0,41.0,34.0,36.0,35.0,37.0,36.0,42.0,40.0,38.0,36.0,55.0,44.0,32.716964,-117.170067
41740,San Diego-Carlsbad,California,PM2.5,Weighted Annual Mean,1,13.1,15.5,13.9,14.4,12.2,11.8,11.2,12.6,12.3,11.4,9.6,9.9,10.3,9.5,9.3,8.4,8.7,9.3,10.0,8.1,10.7,9.5,32.716964,-117.170067
41740,San Diego-Carlsbad,California,PM2.5,98th Percentile,1,33.0,31.0,36.0,39.0,31.0,30.0,24.0,36.0,28.0,22.0,19.0,19.0,24.0,18.0,19.0,19.0,18.0,29.0,29.0,17.0,31.0,24.0,32.716964,-117.170067
41860,San Francisco-Oakland-Hayward,California,CO,2nd Max,5,2.5,2.5,2.0,1.9,1.6,1.5,1.5,1.4,1.4,1.3,1.1,1.1,1.0,1.1,1.1,1.1,1.0,1.2,1.6,0.9,1.6,0.9,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,NO2,Annual Mean,6,16.0,16.0,16.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,6.0,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,NO2,98th Percentile,6,50.0,52.0,50.0,49.0,45.0,44.0,46.0,45.0,45.0,41.0,44.0,47.0,43.0,44.0,45.0,38.0,36.0,41.0,45.0,37.0,34.0,31.0,37.778008,-122.431272
41860,San Francisco-Oakland-Hayward,California,O3,4th Max,8,0.058,0.063,0.063,0.066,0.062,0.058,0.064,0.057,0.066,0.065,0.062,0.061,0.058,0.057,0.065,0.063,0.06,0.061,0.055,0.061,0.061,0.063,37.778008,-122.431272
